测站代码,测站完整代码,测站名称,半球,纬度带,纬度,年积日,时段,无电离层改正RMS,Klobuchar改正RMS,RMS改善量,RMS改善率(%),无电离层改正3D位置误差,Klobuchar改正3D位置误差,3D位置改善量,3D位置改善率(%),无电离层改正卫星数,Klobuchar改正卫星数,无电离层改正成功历元数,Klobuchar改正成功历元数
DAV1,DAV100ATA,南极Davis站,南半球,高纬,-68.58,2024129,00,22.334667999999997,22.308840999999997,0.0258269999999996,0.11563637301436316,60.110133946091885,60.25906011738317,-0.14892617129128638,-0.24775551394519718,10.8,10.8,100,100
DAV1,DAV100ATA,南极Davis站,南半球,高纬,-68.58,2024129,12,17.512004166666667,17.494913333333333,0.017090833333334388,0.09759495926723248,36.97135706295879,35.517149368295605,1.4542076946631823,3.9333359935552314,10.079166666666667,10.075,240,240
DAV1,DAV100ATA,南极Davis站,南半球,高纬,-68.58,2024132,00,22.018628,21.97079800000001,0.04782999999999049,0.21722516044137943,69.98179450050644,68.90056442537842,1.081230075128019,1.545016218639827,10.73,10.72,100,100
DAV1,DAV100ATA,南极Davis站,南半球,高纬,-68.58,2024132,12,18.400692916666667,18.42441708333333,-0.023724166666664104,-0.12893083306213773,38.753375756727486,38.072351588959236,0.6810241677682498,1.757328631300012,10.395833333333334,10.4,240,240
HOB2,HOB200AUS,霍巴特,南半球,中纬,-42.61,2024129,00,16.084395,15.761413000000003,0.3229819999999979,2.0080456865178817,63.908032396433256,68.79609172608777,-4.88805932965451,-7.648583669941489,8.87,8.87,100,100
HOB2,HOB200AUS,霍巴特,南半球,中纬,-42.61,2024129,12,11.6716775,11.710053333333333,-0.038375833333333276,-0.32879449704923114,30.111351219181923,30.267916441422358,-0.15656522224043457,-0.5199541564933072,8.395833333333334,8.395833333333334,240,240
HOB2,HOB200AUS,霍巴特,南半球,中纬,-42.61,2024132,00,14.807470000000002,14.563232000000001,0.24423800000000107,1.649424243304231,77.15413411772391,82.23740321196341,-5.083269094239498,-6.588459779074579,9.17,9.17,100,100
HOB2,HOB200AUS,霍巴特,南半球,中纬,-42.61,2024132,12,11.695544166666668,11.705160000000001,-0.009615833333333157,-0.08221792159734756,27.66834798615048,28.817981255100808,-1.1496332689503284,-4.155048467388738,8.529166666666667,8.529166666666667,240,240
KOUR,KOUR00GUF,圭亚那,北半球,低纬,5.25,2024129,00,8.010074999999999,7.895247999999999,0.11482700000000001,1.4335321454543188,11.241370728474443,10.579059465865123,0.6623112626093199,5.891730453579673,9.54,9.54,100,100
KOUR,KOUR00GUF,圭亚那,北半球,低纬,5.25,2024129,12,17.023262916666667,17.01550666666667,0.007756249999996356,0.045562651754632665,48.974566476970104,38.098462235199754,10.87610424177035,22.207658023649376,9.933333333333334,9.908333333333333,240,240
KOUR,KOUR00GUF,圭亚那,北半球,低纬,5.25,2024132,00,6.206499,6.0185569999999995,0.1879420000000005,3.0281483973493026,8.173531538867275,3.4373563754849914,4.736175163382283,57.945272993204156,9.57,9.57,100,100
KOUR,KOUR00GUF,圭亚那,北半球,低纬,5.25,2024132,12,16.5045125,16.66666,-0.16214749999999967,-0.9824434378173827,42.05985603471096,30.247743003648452,11.812113031062509,28.08405483203334,9.9375,9.9375,240,240
NTUS,NTUS00SGP,新加坡,北半球,低纬,1.35,2024129,00,19.906025999999997,19.624507,0.28151899999999586,1.4142400899104417,25.329749141840114,20.90982570857222,4.419923433267893,17.44953496585163,8.84,8.84,100,100
NTUS,NTUS00SGP,新加坡,北半球,低纬,1.35,2024129,12,10.02965,9.759920416666667,0.2697295833333335,2.6893219936222454,32.43731773891661,23.837291730973213,8.600026007943399,26.512753234295737,9.266666666666667,9.266666666666667,240,240
NTUS,NTUS00SGP,新加坡,北半球,低纬,1.35,2024132,00,18.674849,18.225775000000002,0.449073999999996,2.4046994971686035,30.0941523352487,24.30811597608313,5.786036359165571,19.226447366615133,9.22,9.22,100,100
NTUS,NTUS00SGP,新加坡,北半球,低纬,1.35,2024132,12,10.163944583333334,9.978802083333335,0.18514249999999954,1.8215614861142897,33.797188223980044,22.743964441117043,11.053223782863,32.70456615979796,9.141666666666667,9.141666666666667,240,240
NYA2,NYA200NOR,斯瓦尔巴,北半球,高纬,78.93,2024129,00,15.722985000000001,15.724918,-0.0019329999999992964,-0.012294103187144783,23.378833799274204,24.818455391250577,-1.4396215919763726,-6.1577989917575175,10.72,10.72,100,100
NYA2,NYA200NOR,斯瓦尔巴,北半球,高纬,78.93,2024129,12,15.439432083333335,15.483246666666666,-0.043814583333331214,-0.2837836462950505,73.39910472622702,76.64248745933463,-3.243382733107609,-4.418831462870256,11.004166666666666,11.033333333333333,240,240
NYA2,NYA200NOR,斯瓦尔巴,北半球,高纬,78.93,2024132,00,14.321406,14.340392999999999,-0.0189869999999992,-0.13257776506021265,35.79457889432232,38.62133350870486,-2.826754614382537,-7.897158457229154,11.11,11.11,100,100
NYA2,NYA200NOR,斯瓦尔巴,北半球,高纬,78.93,2024132,12,14.76714375,14.690672916666667,0.07647083333333349,0.5178444432311664,77.9625132584577,81.52851778504464,-3.566004526586937,-4.573998935571875,11.079166666666667,11.091666666666667,240,240
WTZR,WTZR00DEU,德国,北半球,中纬,49.14,2024129,00,13.302039000000002,13.441562,-0.13952299999999696,-1.048884310142204,26.48458526002795,28.71129704912577,-2.22671178909782,-8.407576585533702,8.99,9.01,100,100
WTZR,WTZR00DEU,德国,北半球,中纬,49.14,2024129,12,20.192795416666666,20.29272166666666,-0.09992624999999578,-0.4948609042882639,35.407068515012284,33.86844377039993,1.5386247446123562,4.345529887513825,8.3,8.3,240,240
WTZR,WTZR00DEU,德国,北半球,中纬,49.14,2024132,00,13.454185,13.454203999999999,-1.899999999821489e-05,-0.00014121999956307192,22.749259269157864,24.720665853185352,-1.9714065840274877,-8.66580560141669,9.05,9.05,100,100
WTZR,WTZR00DEU,德国,北半球,中纬,49.14,2024132,12,19.12779208333333,19.078446666666665,0.04934541666666448,0.2579775880649641,38.43799199027139,41.17732588588959,-2.739333895618195,-7.12663111098914,8.216666666666667,8.216666666666667,240,240
